country,state,city,station,last_update,latitude,longitude,pollutant_id,pollutant_min,pollutant_max,pollutant_avg,update_hour,update_day_of_week,pollutant_range,air_quality_category
India,Odisha,Talcher,"Talcher Coalfields,Talcher - OSPCB",2026-07-06 10:00:00,20.9360711,85.1707021,SO2,26.0,38.0,32.0,10,Monday,12.0,Good/Satisfactory
India,Rajasthan,Bikaner,"MM Ground, Bikaner - RSPCB",2026-07-06 10:00:00,28.018792,73.292658,NH3,2.0,3.0,2.0,10,Monday,1.0,Good/Satisfactory
India,Rajasthan,Bikaner,"MM Ground, Bikaner - RSPCB",2026-07-06 10:00:00,28.018792,73.292658,SO2,1.0,6.0,3.0,10,Monday,5.0,Good/Satisfactory
India,Rajasthan,Bikaner,"MM Ground, Bikaner - RSPCB",2026-07-06 10:00:00,28.018792,73.292658,CO,11.0,60.0,32.0,10,Monday,49.0,Good/Satisfactory
India,Rajasthan,Bundi,"New Colony, Bundi - RSPCB",2026-07-06 10:00:00,25.435774,75.644272,PM10,16.0,500.0,256.0,10,Monday,484.0,Poor/Severe
India,Rajasthan,Churu,"Subash Chowk, Churu - RSPCB",2026-07-06 10:00:00,28.296139,74.961696,SO2,3.0,4.0,4.0,10,Monday,1.0,Good/Satisfactory
India,Rajasthan,Dausa,"Khatikan Mohalla, Dausa - RSPCB",2026-07-06 10:00:00,26.895552,76.334753,PM2.5,3.0,25.0,16.0,10,Monday,22.0,Good/Satisfactory
India,Rajasthan,Dausa,"Khatikan Mohalla, Dausa - RSPCB",2026-07-06 10:00:00,26.895552,76.334753,PM10,8.0,57.0,36.0,10,Monday,49.0,Good/Satisfactory
India,Rajasthan,Dholpur,"Raja Ganj, Dholpur - RSPCB",2026-07-06 10:00:00,26.699557,77.898881,PM10,11.0,291.0,59.0,10,Monday,280.0,Moderate
India,Rajasthan,Hanumangarh,"Housing Board, Hanumangarh - RSPCB",2026-07-06 10:00:00,29.61075,74.283608,NO2,3.0,11.0,6.0,10,Monday,8.0,Good/Satisfactory
